,author,author_flair,score,comment_id,comment_name,comment_fullname,comment_is_root,comment_parent,comment_approved_at_utc,comment_approved_by,comment_created,comment_created_utc,comment_created_utc_datetime,comment_created_utc_date,comment_created_utc_time,comment_banned_at_utc,comment_banned_by,comment_depth,comment_num_reports,comment_body,comment_body_parsed,submission_id,submission_title,submission_created_utc,playId,index,Unnamed: 0,playnum,Game Title Date,text,homeWinPercentage,matched_play_by_play_text,matched_play_by_play_index,matched_play_by_play_utc,matched_play_by_play_tweetid,home_team,away_team,awayWinPercentage,vader_ss,vader_neg,vader_neu,vader_pos,vader_compound,fan_type
0,Street_Spirit_,Raiders,2,dnnfsxx,t1_dnnfsxx,t1_dnnfsxx,True,7344it,,,1506671724.0,1506642924.0,2017-09-28 19:55:24,28-09-17,19:55:24,,,0,,[jersey goals](https://i.ebayimg.com/images/g/9ncAAOxyGqZSWoeL/s-l300.jpg),[jersey goals](https://i.ebayimg.com/images/g/9ncAAOxyGqZSWoeL/s-l300.jpg),7344it,Game Thread: Chicago Bears (1-2) at Green Bay Packers (2-1),1506642905.0,40095167836.0,2505,7194,14193,Bears vs. Packers  2017-09-28,"C.Barth kicks 65 yards from CHI 35 to end zone, Touchback.",0.8390000000000001,C.Barth kicks 65 yards from CHI 35 to end zone Touchback. #GBvsCHI,0.0,2017-09-29 00:30:01,9.13561467785503e+17,Packers,Bears,0.16099999999999992,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,other
1,irishkid46,Bears,1,dnnft5a,t1_dnnft5a,t1_dnnft5a,True,7344it,,,1506671733.0,1506642933.0,2017-09-28 19:55:33,28-09-17,19:55:33,,,0,,FTP,FTP,7344it,Game Thread: Chicago Bears (1-2) at Green Bay Packers (2-1),1506642905.0,40095167836.0,2505,7194,14193,Bears vs. Packers  2017-09-28,"C.Barth kicks 65 yards from CHI 35 to end zone, Touchback.",0.8390000000000001,C.Barth kicks 65 yards from CHI 35 to end zone Touchback. #GBvsCHI,0.0,2017-09-29 00:30:01,9.13561467785503e+17,Packers,Bears,0.16099999999999992,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,away
2,SportsMasterGeneral,Bears,12,dnnft8q,t1_dnnft8q,t1_dnnft8q,True,7344it,,,1506671736.0,1506642936.0,2017-09-28 19:55:36,28-09-17,19:55:36,,,0,,"I know its already passed, but that leukemia story had me weak",I know its already passed  but that leukemia story had me weak,7344it,Game Thread: Chicago Bears (1-2) at Green Bay Packers (2-1),1506642905.0,40095167836.0,2505,7194,14193,Bears vs. Packers  2017-09-28,"C.Barth kicks 65 yards from CHI 35 to end zone, Touchback.",0.8390000000000001,C.Barth kicks 65 yards from CHI 35 to end zone Touchback. #GBvsCHI,0.0,2017-09-29 00:30:01,9.13561467785503e+17,Packers,Bears,0.16099999999999992,"{'neg': 0.278, 'neu': 0.722, 'pos': 0.0, 'compound': -0.5927}",0.278,0.722,0.0,-0.5927,away
3,Street_Spirit_,Raiders,24,dnnftgx,t1_dnnftgx,t1_dnnftgx,True,7344it,,,1506671745.0,1506642945.0,2017-09-28 19:55:45,28-09-17,19:55:45,,,0,,fuck the refs,fuck the refs,7344it,Game Thread: Chicago Bears (1-2) at Green Bay Packers (2-1),1506642905.0,40095167836.0,2505,7194,14193,Bears vs. Packers  2017-09-28,"C.Barth kicks 65 yards from CHI 35 to end zone, Touchback.",0.8390000000000001,C.Barth kicks 65 yards from CHI 35 to end zone Touchback. #GBvsCHI,0.0,2017-09-29 00:30:01,9.13561467785503e+17,Packers,Bears,0.16099999999999992,"{'neg': 0.636, 'neu': 0.364, 'pos': 0.0, 'compound': -0.5423}",0.636,0.364,0.0,-0.5423,other
4,Fight_For_Tacos,,0,dnnftkp,t1_dnnftkp,t1_dnnftkp,True,7344it,,,1506671749.0,1506642949.0,2017-09-28 19:55:49,28-09-17,19:55:49,,,0,,There's a game tonight?,There's a game tonight?,7344it,Game Thread: Chicago Bears (1-2) at Green Bay Packers (2-1),1506642905.0,40095167836.0,2505,7194,14193,Bears vs. Packers  2017-09-28,"C.Barth kicks 65 yards from CHI 35 to end zone, Touchback.",0.8390000000000001,C.Barth kicks 65 yards from CHI 35 to end zone Touchback. #GBvsCHI,0.0,2017-09-29 00:30:01,9.13561467785503e+17,Packers,Bears,0.16099999999999992,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,other
